['coinler=', 'BNB\n/ BTC\n10x', '24h%=', '-3.76%', '1,194.25', '/ $43.04']
['coinler=', 'NULS\n/ BTC\n5x', '24h%=', '+0.21%', '15.77', '/ $0.314080']
['coinler=', 'NEO\n/ BTC\n10x', '24h%=', '-1.73%', '147.11', '/ $22.72']
['coinler=', 'LINK\n/ BTC\n5x', '24h%=', '+2.96%', '2,225.21', '/ $23.54']
['coinler=', 'IOTA\n/ BTC\n10x', '24h%=', '-4.38%', '90.27', '/ $0.407338']
['coinler=', 'ETC\n/ BTC\n10x', '24h%=', '+3.65%', '432.76', '/ $7.84']
['coinler=', 'KNC\n/ BTC\n5x', '24h%=', '+0.96%', '145.79', '/ $1.30']
['coinler=', 'WTC\n/ BTC\n5x', '24h%=', '-6.48%', '17.04', '/ $0.336396']
['coinler=', 'SNGLS\n/ BTC', '24h%=', '+5.88%', '8.71', '/ $0.005995']
['coinler=', 'GAS\n/ BTC', '24h%=', '-3.91%', '12.23', '/ $1.80']
['coinler=', 'SNM\n/ BTC', '24h%=', '+50.00%', '321.18', '/ $0.014988']
['coinler=', 'BQX\n/ BTC', '24h%=', '-3.25%', '262.52', '/ $1.09']
['coinler=', 'QTUM\n/ BTC\n10x', '24h%=', '-2.34%', '163.64', '/ $3.34']
['coinler=', 'LTC\n/ BTC\n10x', '24h%=', '-1.18%', '1,045.43', '/ $134.09']
['coinler=', 'ETH\n/ BTC\n10x', '24h%=', '-1.27%', '15,286.02', '/ $1,352.48']
['coinler=', 'BNB\n/ BTC\n10x', '24h%=', '-4.95%', '1,209.99', '/ $42.73']
['coinler=', 'NULS\n/ BTC\n5x', '24h%=', '-1.07%', '15.67', '/ $0.310401']
['coinler=', 'NEO\n/ BTC\n10x', '24h%=', '-2.46%', '146.75', '/ $22.58']
['coinler=', 'LINK\n/ BTC\n5x', '24h%=', '+2.06%', '2,255.15', '/ $23.39']
['coinler=', 'IOTA\n/ BTC\n10x', '24h%=', '-5.69%', '94.10', '/ $0.405060']
['coinler=', 'ETC\n/ BTC\n10x', '24h%=', '+1.77%', '435.28', '/ $7.71']
['coinler=', 'KNC\n/ BTC\n5x', '24h%=', '-0.75%', '145.06', '/ $1.29']
['coinler=', 'WTC\n/ BTC\n5x', '24h%=', '-6.48%', '17.26', '/ $0.337829']
['coinler=', 'SNGLS\n/ BTC', '24h%=', '+5.88%', '9.18', '/ $0.006021']
['coinler=', 'GAS\n/ BTC', '24h%=', '-4.79%', '12.52', '/ $1.80']
['coinler=', 'SNM\n/ BTC', '24h%=', '+54.84%', '339.23', '/ $0.016055']
['coinler=', 'BQX\n/ BTC', '24h%=', '-5.81%', '262.62', '/ $1.09']
['coinler=', 'QTUM\n/ BTC\n10x', '24h%=', '-4.26%', '164.46', '/ $3.30']
['coinler=', 'LTC\n/ BTC\n10x', '24h%=', '-1.18%', '1,062.62', '/ $134.26']
['coinler=', 'ETH\n/ BTC\n10x', '24h%=', '-1.68%', '15,312.22', '/ $1,343.42']
['coinler=', 'BNB\n/ BTC\n10x', '24Saatlik HACİM', '1,427.65', 'fiyat', '/ $42.34']
['coinler=', 'NULS\n/ BTC\n5x', '24Saatlik HACİM', '20.16', 'fiyat', '/ $0.289576']
['coinler=', 'NEO\n/ BTC\n10x', '24Saatlik HACİM', '202.03', 'fiyat', '/ $22.02']
['coinler=', 'LINK\n/ BTC\n5x', '24Saatlik HACİM', '2,557.22', 'fiyat', '/ $22.72']
['coinler=', 'IOTA\n/ BTC\n10x', '24Saatlik HACİM', '129.37', 'fiyat', '/ $0.398893']
['coinler=', 'ETC\n/ BTC\n10x', '24Saatlik HACİM', '505.10', 'fiyat', '/ $7.59']
['coinler=', 'KNC\n/ BTC\n5x', '24Saatlik HACİM', '119.84', 'fiyat', '/ $1.24']
['coinler=', 'WTC\n/ BTC\n5x', '24Saatlik HACİM', '23.32', 'fiyat', '/ $0.325693']
['coinler=', 'SNGLS\n/ BTC', '24Saatlik HACİM', '11.55', 'fiyat', '/ $0.006449']
['coinler=', 'GAS\n/ BTC', '24Saatlik HACİM', '17.49', 'fiyat', '/ $1.81']
['coinler=', 'SNM\n/ BTC', '24Saatlik HACİM', '498.64', 'fiyat', '/ $0.016123']
['coinler=', 'BQX\n/ BTC', '24Saatlik HACİM', '1,343.86', 'fiyat', '/ $1.43']
['coinler=', 'QTUM\n/ BTC\n10x', '24Saatlik HACİM', '257.61', 'fiyat', '/ $3.31']
['coinler=', 'LTC\n/ BTC\n10x', '24Saatlik HACİM', '1,414.63', 'fiyat', '/ $132.70']
['coinler=', 'ETH\n/ BTC\n10x', '24Saatlik HACİM', '19,123.89', 'fiyat', '/ $1,296.64']
